Código_individuo;Latitud_Grados_decimales;Longitud_Grados_decimales;Especie;Sexo;Sitio;Sustrato;Posición_arte;AÑO;Fecha_del_lance;Profundidad_max_(m);LT_(cm);LD_(cm);AD_(rayas)_/_Lprecaudal__o_LS_(tiburones)_cm;Long_Int_clasper_(cm);Calcif._Clasper_(NC-PC-CA);Semen_(Si-No);Peso_total_(g);Phig_(g);Pgon_(g);Pev_(g);Estadío
011013Ddip01;24.42377;-110.30555;Dasyatis dipterura;Hembra;La Bonanza;Arena;Media agua;2013;30-sept-13;21;84.1;;45.3;;;;4500;150;;3750;Juvenil
011013Ddip02;24.42377;-110.30555;Dasyatis dipterura;Hembra;La Bonanza;Arena;Media agua;2013;30-sept-13;21;91;49;53;;;;;500;;;Juvenil
011013Ddip03;24.42377;-110.30555;Dasyatis dipterura;Hembra;La Bonanza;Arena;Media agua;2013;30-sept-13;21;116;58;61.5;;;;;800;;;Juvenil
011013Ddip04;24.42377;-110.30555;Dasyatis dipterura;Macho;La Bonanza;Arena;Media agua;2013;30-sept-13;21;102.2;48.2;52;14.6;CA;Si;;260;;;Adulto
011013Mmun01;24.42377;-110.30555;Mobula munkiana;Macho;La Bonanza;Arena;Media agua;2013;30-sept-13;21;77;35.5;55.5;3.4;NC;No;1900;80;;1600;Juvenil
011013Mmun02;24.42377;-110.30555;Mobula munkiana;Hembra;La Bonanza;Arena;Media agua;2013;30-sept-13;21;60.4;30;45.3;;;;1100;120;;800;Juvenil
011013Mmun03;24.42377;-110.30555;Mobula munkiana;Macho;La Bonanza;Arena;Media agua;2013;30-sept-13;21;;31;51.5;2;NC;No;1250;60;;1100;Juvenil
011013Mmun04;24.42377;-110.30555;Mobula munkiana;Hembra;La Bonanza;Arena;Media agua;2013;30-sept-13;21;57;34;54;;;;1700;40;;;Juvenil
011013Mmun05;24.42377;-110.30555;Mobula munkiana;Hembra;La Bonanza;Arena;Media agua;2013;30-sept-13;21;62.5;36;55;;;;1900;100;;1600;Juvenil
011013Mmun06;24.42377;-110.30555;Mobula munkiana;Hembra;La Bonanza;Arena;Media agua;2013;30-sept-13;21;64.5;34;55.5;;;;1750;80;;1250;Juvenil
011013Mmun07;24.42377;-110.30555;Mobula munkiana;Hembra;La Bonanza;Arena;Media agua;2013;30-sept-13;21;58;33;51;;;;1350;90;;1200;Juvenil
011013Mmun08;24.42377;-110.30555;Mobula munkiana;Hembra;La Bonanza;Arena;Media agua;2013;30-sept-13;21;73;36;53.5;;;;1450;90;;1150;Juvenil
021013Ddip01;24.48422;-110.29765;Dasyatis dipterura;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;87;39.5;44;;;;3800;220;;3450;Juvenil
021013Mmun01;24.48422;-110.29765;Mobula munkiana;Indeterminado;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;57.5;;;;;;;;Juvenil
021013Mmun02;24.48422;-110.29765;Mobula munkiana;Indeterminado;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;56;;;;;;;;Juvenil
021013Mmun03;24.48422;-110.29765;Mobula munkiana;Indeterminado;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;53.5;;;;;;;;Juvenil
021013Mmun04;24.48422;-110.29765;Mobula munkiana;Macho;La Salinita;Arena;Media agua;2013;1-oct-13;30;60;34;53.5;2.5;NC;No;1600;50;;1400;Juvenil
021013Mmun05;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;74.5;38.5;61.5;;;;2700;160;;2200;Juvenil
021013Mmun06;24.48422;-110.29765;Mobula munkiana;Macho;La Salinita;Arena;Media agua;2013;1-oct-13;30;66.5;;54;2.8;NC;No;;80;;1500;Juvenil
021013Mmun07;24.48422;-110.29765;Mobula munkiana;Macho;La Salinita;Arena;Media agua;2013;1-oct-13;30;72.3;35.3;58.5;2.8;NC;No;;80;;1500;Juvenil
021013Mmun08;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;54;;;;;80;;1600;Juvenil
021013Mmun09;24.48422;-110.29765;Mobula munkiana;Macho;La Salinita;Arena;Media agua;2013;1-oct-13;30;88;38.5;60;2.3;NC;No;2000;80;;1700;Juvenil
021013Mmun10;24.48422;-110.29765;Mobula munkiana;Macho;La Salinita;Arena;Media agua;2013;1-oct-13;30;60.5;34.5;56.5;3;NC;No;1750;70;;1500;Juvenil
021013Mmun11;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;63;34.5;54.5;;;;1750;70;;1350;Juvenil
021013Mmun12;24.48422;-110.29765;Mobula munkiana;Macho;La Salinita;Arena;Media agua;2013;1-oct-13;30;77.5;38.5;57.3;3;NC;No;1900;80;;1600;Juvenil
021013Mmun13;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;80.5;30.3;57.5;;;;2000;80;;1850;Juvenil
021013Mmun14;24.48422;-110.29765;Mobula munkiana;Macho;La Salinita;Arena;Media agua;2013;1-oct-13;30;62.5;33;47;2.5;NC;No;1000;60;;800;Juvenil
021013Mmun15;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;54;;;;1350;80;;1250;Juvenil
Sin código-viva-liberada;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;49.5;;;;;;;;Juvenil
Sin código-viva-liberada;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;57.5;;;;;;;;Juvenil
Sin código-viva-liberada;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;54.5;;;;;;;;Juvenil
Sin código-viva-liberada;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;58.9;;;;;;;;Juvenil
Sin código-viva-liberada;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;53.6;;;;;;;;Juvenil
Sin código-viva-liberada;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;49.7;;;;;;;;Juvenil
Sin código-viva-liberada;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;55.7;;;;;;;;Juvenil
Sin código-viva-liberada;24.48422;-110.29765;Mobula munkiana;Hembra;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;58.9;;;;;;;;Juvenil
Sin código-viva-liberada;24.48422;-110.29765;Mobula munkiana;Macho;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;50.9;;;;;;;;Juvenil
Sin código-viva-liberada;24.48422;-110.29765;Mobula munkiana;Macho;La Salinita;Arena;Media agua;2013;1-oct-13;30;;;53.8;;;;;;;;Juvenil
031013Nent01;24.49065;-110.29843;Narcine entemedor;Hembra;La Salinita 2 (+ afuera y + profundo);Arena;Fondo;2013;2-oct-13;65;69;;34;;;;3200;100;;3100;Adulto
031013Nent02;24.49065;-110.29843;Narcine entemedor;Macho;La Salinita 2 (+ afuera y + profundo);Arena;Fondo;2013;2-oct-13;65;46;;20.5;8.5;CA;Si;850;40;;;Adulto
031013Ddip01;24.49065;-110.29843;Dasyatis dipterura;Hembra;La Salinita 2 (+ afuera y + profundo);Arena;Fondo;2013;2-oct-13;65;;;50.5;;;;;230;;;Juvenil
031013Ddip02;24.49065;-110.29843;Dasyatis dipterura;Hembra;La Salinita 2 (+ afuera y + profundo);Arena;Fondo;2013;2-oct-13;65;94;44;48;;;;4600;310;;4000;Juvenil
031013Ddip03;24.49065;-110.29843;Dasyatis dipterura;Hembra;La Salinita 2 (+ afuera y + profundo);Arena;Fondo;2013;2-oct-13;65;144;64.8;75.6;;;;;1560;;;Adulto
